fourgram,fourfreq,predictor,fivefreq,prob
that_awkward_moment_when,230,your,31,0.134782608695652
the_first_day_of,117,the,31,0.264957264957265
the_fourth_be_with,34,you,31,0.911764705882353
time_of_with_nike,31,gps,31,1
to_get_out_of,247,my,31,0.125506072874494
wait_to_see_what,113,you,31,0.274336283185841
want_to_go_to,198,school,31,0.156565656565657
you_don't_have_to,223,be,31,0.139013452914798
you_don't_want_to,150,miss,31,0.206666666666667
you_have_a_great,207,weekend,31,0.14975845410628
you_thank_you_thank,31,you,31,1
a_mi_run_with,63,nike,30,0.476190476190476
at_this_time_of,42,year,30,0.714285714285714
be_sure_to_stop,35,by,30,0.857142857142857
but_at_the_end,33,of,30,0.909090909090909
don't_know_about_you,36,but,30,0.833333333333333
figure_out_how_to,164,get,30,0.182926829268293
following_the_hilltop_on,30,twitter,30,1
for_following_the_hilltop,30,on,30,1
i_just_want_to,145,be,30,0.206896551724138
if_you_want_me,35,to,30,0.857142857142857
in_the_next_couple,46,of,30,0.652173913043478
in_the_next_few,87,weeks,30,0.344827586206897
looking_forward_to_the,304,next,30,0.0986842105263158
may_the_4th_be,30,with,30,1
mi_run_with_nike,30,gps,30,1
thanks_for_following_the,34,hilltop,30,0.882352941176471
the_4th_be_with,30,you,30,1
the_end_of_the,1190,tunnel,30,0.0252100840336134
the_rest_of_the,1060,year,30,0.0283018867924528
there_is_no_need,43,to,30,0.697674418604651
we'd_love_to_have,35,you,30,0.857142857142857
what_you_want_to,86,do,30,0.348837209302326
all_is_well_with,44,you,29,0.659090909090909
and_let_me_know,75,what,29,0.386666666666667
first_thing_in_the,30,morning,29,0.966666666666667
for_a_couple_of,178,days,29,0.162921348314607
for_following_me_on,31,twitter,29,0.935483870967742
for_the_first_time,884,and,29,0.0328054298642534
have_no_choice_but,31,to,29,0.935483870967742
hope_you_are_doing,40,well,29,0.725
i_don't_know_what,103,to,29,0.281553398058252
i_know_what_you,36,mean,29,0.805555555555556
if_you_don't_want,57,to,29,0.508771929824562
if_you_want_to,626,see,29,0.0463258785942492
in_the_case_of,116,the,29,0.25
is_one_of_my,231,favorites,29,0.125541125541126
it_just_me_or,88,does,29,0.329545454545455
let_me_know_if,335,can,29,0.0865671641791045
let_us_know_if,163,we,29,0.177914110429448
one_of_those_days,95,where,29,0.305263157894737
salt_and_pepper_to,30,taste,29,0.966666666666667
somebody_that_used_to,31,know,29,0.935483870967742
thank_you_all_for,96,your,29,0.302083333333333
those_of_you_who,174,are,29,0.166666666666667
to_all_of_you,119,who,29,0.243697478991597
to_get_back_in,40,the,29,0.725
to_the_front_of,32,the,29,0.90625
us_know_if_you,97,have,29,0.298969072164948
you_had_a_good,65,time,29,0.446153846153846
a_man_and_a,33,woman,28,0.848484848484848
and_can't_wait_to,76,see,28,0.368421052631579
as_one_of_the,139,most,28,0.201438848920863
at_the_back_of,54,the,28,0.518518518518519
be_a_part_of,215,this,28,0.130232558139535
can't_wait_for_you,41,to,28,0.682926829268293
do_you_want_to,218,be,28,0.128440366972477
have_something_to_do,43,with,28,0.651162790697675
i'm_a_big_fan,38,of,28,0.736842105263158
if_you_are_in,95,the,28,0.294736842105263
in_the_new_york,45,times,28,0.622222222222222
it's_been_a_long,67,time,28,0.417910447761194
it_turned_out_to,33,be,28,0.848484848484848
it_was_great_to,103,see,28,0.271844660194175
level_mp_cost_duration,28,seconds,28,1
not_the_only_one,121,who,28,0.231404958677686
one_step_at_a,28,time,28,1
something_to_look_forward,30,to,28,0.933333333333333
still_trying_to_figure,40,out,28,0.7
thanks_so_much_for,357,following,28,0.0784313725490196
thanks_to_all_of,65,you,28,0.430769230769231
the_end_of_the,1190,book,28,0.0235294117647059
the_only_way_to,151,get,28,0.185430463576159
there_are_a_number,29,of,28,0.96551724137931
to_a_whole_new,36,level,28,0.777777777777778
to_all_who_came,39,out,28,0.717948717948718
until_the_end_of,74,the,28,0.378378378378378
up_in_the_middle,30,of,28,0.933333333333333
wait_to_see_you,215,in,28,0.130232558139535
want_to_talk_to,57,you,28,0.491228070175439
was_the_last_time,60,you,28,0.466666666666667
was_the_only_one,79,who,28,0.354430379746835
what_a_great_way,29,to,28,0.96551724137931
what_are_your_thoughts,48,on,28,0.583333333333333
what_would_you_like,34,to,28,0.823529411764706
will_not_be_able,28,to,28,1
a_matter_of_time,52,before,27,0.519230769230769
be_on_the_look,28,out,27,0.964285714285714
do_you_think_of,94,the,27,0.287234042553192
for_the_life_of,39,me,27,0.692307692307692
great_way_to_start,64,the,27,0.421875
has_something_to_do,28,with,27,0.964285714285714
have_anything_to_do,34,with,27,0.794117647058824
how_hard_it_is,34,to,27,0.794117647058824
i'm_really_looking_forward,27,to,27,1
i'm_so_proud_of,59,you,27,0.457627118644068
is_a_great_place,35,to,27,0.771428571428571
is_the_first_day,40,of,27,0.675
it_is_one_of,64,the,27,0.421875
it_makes_me_want,29,to,27,0.931034482758621
it_would_be_a,185,good,27,0.145945945945946
it_would_be_great,51,to,27,0.529411764705882
just_in_time_for,93,the,27,0.290322580645161
my_number_so_call,27,me,27,1
need_to_get_out,43,of,27,0.627906976744186
on_the_edge_of,100,the,27,0.27
on_the_other_hand,302,is,27,0.0894039735099338
one_of_the_things,107,that,27,0.252336448598131
tell_me_what_you,55,think,27,0.490909090909091
thanks_for_the_rt,845,and,27,0.0319526627218935
the_back_of_my,95,mind,27,0.284210526315789
the_first_time_in,257,years,27,0.105058365758755
the_love_of_my,27,life,27,1
this_is_not_to,38,say,27,0.710526315789474
those_of_you_who,174,have,27,0.155172413793103
to_be_able_to,559,do,27,0.0483005366726297
to_get_back_to,165,work,27,0.163636363636364
to_go_to_the,343,bathroom,27,0.0787172011661808
today_is_the_first,30,day,27,0.9
us_know_if_we,29,can,27,0.931034482758621
we_are_going_to,212,be,27,0.127358490566038
would_love_to_hear,110,your,27,0.245454545454545
a_couple_of_months,68,ago,26,0.382352941176471
all_in_all_it,31,was,26,0.838709677419355
and_at_the_end,35,of,26,0.742857142857143
and_every_one_of,44,you,26,0.590909090909091
and_for_the_first,28,time,26,0.928571428571429
at_the_same_time,838,the,26,0.0310262529832936
bake_for_minutes_or,26,until,26,1
be_one_of_the,177,most,26,0.146892655367232
been_a_while_since,86,i've,26,0.302325581395349
best_of_luck_to,51,you,26,0.509803921568627
day_to_all_the,143,mothers,26,0.181818181818182
fell_in_love_with,131,the,26,0.198473282442748
figure_out_a_way,29,to,26,0.896551724137931
for_a_couple_of,178,weeks,26,0.146067415730337
girl_with_the_dragon,26,tattoo,26,1
gonna_be_a_good,57,day,26,0.456140350877193
had_a_great_time,328,with,26,0.0792682926829268
had_something_to_do,30,with,26,0.866666666666667
happy_mothers_day_to,169,my,26,0.153846153846154
happy_new_year_to,67,you,26,0.388059701492537
i_woke_up_this,26,morning,26,1
if_you_want_to,626,make,26,0.0415335463258786
is_not_to_say,44,that,26,0.590909090909091
is_one_of_the,617,few,26,0.0421393841166937
it_has_been_a,140,long,26,0.185714285714286
it_will_be_interesting,29,to,26,0.896551724137931
looking_forward_to_meeting,70,you,26,0.371428571428571
o_to_my_new,47,follower,26,0.553191489361702
of_my_all_time,53,favorite,26,0.490566037735849
or_at_the_very,26,least,26,1
run_with_a_time,26,of,26,1
season_with_salt_and,28,pepper,26,0.928571428571429
so_you_don't_have,27,to,26,0.962962962962963
sorry_to_hear_about,49,your,26,0.530612244897959
thank_you_for_the,806,support,26,0.032258064516129
thanks_for_all_the,151,support,26,0.172185430463576
thanks_for_following_me,169,on,26,0.153846153846154
the_world_a_better,27,place,26,0.962962962962963
there_were_a_lot,28,of,26,0.928571428571429
this_is_gonna_be,62,a,26,0.419354838709677
to_all_the_moms,45,out,26,0.577777777777778
to_share_it_with,63,you,26,0.412698412698413
to_talk_to_you,104,about,26,0.25
us_know_if_you,97,need,26,0.268041237113402
what_do_you_guys,33,think,26,0.787878787878788
what_it_means_to,62,be,26,0.419354838709677
with_a_time_of,32,with,26,0.8125
would_love_for_you,27,to,26,0.962962962962963
you_for_the_kind,33,words,26,0.787878787878788
a_great_time_last,28,night,25,0.892857142857143
all_can_think_about,28,is,25,0.892857142857143
all_you_need_to,52,do,25,0.480769230769231
and_thank_you_for,101,the,25,0.247524752475248
are_you_looking_forward,25,to,25,1
available_in_your_customer,25,area,25,1
does_not_have_to,43,be,25,0.581395348837209
